Тип объекта;Тип заявки;Район;Площадь;Цена
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;80.8;35000
Торговое помещение;Сдать в аренду;Центр: Драмтеатр;100.0;168000
Офисное помещение;Сдать в аренду;Гилевская Роща;15.7;9066
Свободного назначения;Сдать в аренду;Центр: КПД;38.0;37000
Свободного назначения;Сдать в аренду;5-й Заречный мкр;124.9;80000
Свободного назначения;Сдать в аренду;микрорайон Тюменский-1;39.0;45000
Свободного назначения;Сдать в аренду;микрорайон Тюменский-1;18.0;18000
Офисное помещение;Сдать в аренду;Центр: Исторический;38.6;69480
Свободного назначения;Сдать в аренду;6-й микрорайон;163.4;180000
Свободного назначения;Сдать в аренду;5-й Заречный мкр;70.0;75900
Свободного назначения;Сдать в аренду;МЖК;105.0;90300
Свободного назначения;Сдать в аренду;Центр: КПД;43.0;64500
Свободного назначения;Сдать в аренду;Ново-Комарово;53.6;69500
Офисное помещение;Сдать в аренду;Суходольский мкр.;17.0;19000
Свободного назначения;Сдать в аренду;Плеханово;51.0;75000
Офисное помещение;Сдать в аренду;Центр: Исторический;18.1;16300
Свободного назначения;Сдать в аренду;Тюменская слобода мкр.;53.6;101935
Торговое помещение;Сдать в аренду;Центр: Исторический;120.1;100000
Офисное помещение;Сдать в аренду;Центр: КПД;84.6;50000
Торговое помещение;Сдать в аренду;Европейский мкр.;68.0;88660
Торговое помещение;Сдать в аренду;Плеханово;42.0;42700
Свободного назначения;Сдать в аренду;микрорайон Матмасы;87.2;56680
Торговое помещение;Сдать в аренду;Тюменский 3-й мкр.;19.3;14000
База/склад/производство;Сдать в аренду;Центр: Драмтеатр;3.7;6000
Офисное помещение;Сдать в аренду;Центр: Исторический;27.5;35000
Свободного назначения;Сдать в аренду;Восточный 2 мкр.;48.0;70000
Торговое помещение;Сдать в аренду;Европейский мкр.;50.0;70000
Торговое помещение;Сдать в аренду;3 мкр;48.0;90000
Офисное помещение;Сдать в аренду;микрорайон Парфёново;32.0;30000
Свободного назначения;Сдать в аренду;Центр: КПД;57.0;62700
Торговое помещение;Сдать в аренду;Тополя-2 с/о;200.0;200000
Торговое помещение;Сдать в аренду;Перевалово с.;19.0;28500
Офисное помещение;Сдать в аренду;Центр: Исторический;40.0;38000
Свободного назначения;Сдать в аренду;Восточный 2 мкр.;96.1;60000
Торговое помещение;Сдать в аренду;Центр: Дом печати;56.9;50000
Торговое помещение;Сдать в аренду;Центр: Дом печати;56.9;35000
Свободного назначения;Сдать в аренду;Тюменский 3-й мкр.;362.0;290000
Свободного назначения;Сдать в аренду;Тюменский 2-й мкр.;64.8;95000
Офисное помещение;Сдать в аренду;Московский тракт мкр.;25.4;25000
Торговое помещение;Сдать в аренду;Маяк мкр.;64.0;40000
Офисное помещение;Сдать в аренду;Центр: КПД;22.1;24310
Офисное помещение;Сдать в аренду;Дом Обороны;55.1;36000
Офисное помещение;Сдать в аренду;Восточный 3 мкр.;79.9;79900
Торговое помещение;Сдать в аренду;Европейский мкр.;50.0;100000
Торговое помещение;Сдать в аренду;Плеханово;53.9;80850
Свободного назначения;Сдать в аренду;Центр: Исторический;200.4;200400
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;90.4;90000
Торговое помещение;Сдать в аренду;Тюменский 3-й мкр.;120.0;180000
Офисное помещение;Сдать в аренду;Центр: Исторический;18.1;16300
Офисное помещение;Сдать в аренду;Центр: КПД;53.7;50000
Свободного назначения;Сдать в аренду;Боровский рп.;30.0;30000
Свободного назначения;Сдать в аренду;Плеханово;51.2;66560
Свободного назначения;Сдать в аренду;Плеханово;36.2;36000
Офисное помещение;Сдать в аренду;Центр: Исторический;36.0;40000
Свободного назначения;Сдать в аренду;Комарово Парк мкр.;113.3;124630
Свободного назначения;Сдать в аренду;Центр: Исторический;158.3;200000
Свободного назначения;Сдать в аренду;микрорайон Тюменский-1;37.0;44400
Офисное помещение;Сдать в аренду;Дом Обороны;98.5;85000
Свободного назначения;Сдать в аренду;Плеханово;187.6;318920
