deal_type,obj_type,district,area_range,count,min_price_sqm,median_price_sqm,max_price_sqm,min_price,median_price,max_price
продажа,Свободного назначения,Дом Обороны,81-90,5,82774,167103,172095,7400000,13796500,14573000
продажа,База/склад/производство,Зеленые Аллеи (Ирбитский тракт),1-10,5,95349,106557,134091,405000,500000,650000
продажа,Свободного назначения,Червишевский тракт мкр.,101-110,5,178000,188999,236634,18618800,20393000,23900000
продажа,Свободного назначения,Червишевский тракт мкр.,121-130,5,181818,192600,275000,23000000,25095780,34375000
продажа,Свободного назначения,Мыс мкр.,41-50,5,159893,260241,282281,6571591,12500000,13860000
продажа,Офисное помещение,Боровский рп.,11-20,5,150135,150897,152850,1727200,2188000,2447200
продажа,Коммерческий участок,Горьковское МО,4991-5000,5,1360,1360,2352,6800000,6800000,11759000
продажа,База/склад/производство,микрорайон ДОК,1-10,5,93333,103030,162162,250000,280000,600000
продажа,Коммерческий участок,Бухтал,9991-10000,5,17,17,17,170000,170000,170000
продажа,Офисное помещение,Центр: Драмтеатр,11-20,5,135338,179310,224719,1800000,2500000,4000000
продажа,База/склад/производство,Мыс мкр.,1-10,5,123750,126923,156627,495000,880000,1300000
продажа,Офисное помещение,Восточный р-н,31-40,5,115000,120000,125000,3979000,4140000,4325000
продажа,Свободного назначения,"Калининский округ, жилой район Комарово Парк",71-80,5,184876,185281,186147,14100000,14400000,14700000
аренда,Свободного назначения,Центр: Исторический,41-50,4,1025,1800,2485,45000,77400,125000
аренда,Свободного назначения,Центр: КПД,21-30,4,1000,1020,1042,25000,25000,27000
аренда,Свободного назначения,Московский тракт мкр.,51-60,4,417,838,1000,25000,50000,60000
аренда,Свободного назначения,Центр: Исторический,91-100,4,733,1600,2030,70000,160000,200000
аренда,Свободного назначения,Центр: КПД,91-100,4,604,1048,1800,60000,100000,180000
аренда,Свободного назначения,Московский тракт мкр.,111-120,4,757,1600,1600,88000,179840,179840
аренда,Свободного назначения,Мыс мкр.,71-80,4,853,1596,2000,68425,116500,155400
аренда,Свободного назначения,Центр: Исторический,311-320,4,1000,1254,1312,320000,400000,420000
аренда,Свободного назначения,Дударева д.,71-80,4,1000,1252,1298,72000,91000,97500
аренда,Торговое помещение,Дом Обороны,131-140,4,1000,1286,1302,134000,170000,180000
аренда,Свободного назначения,Центр: Исторический,111-120,4,423,950,1378,50000,110770,162600
аренда,Офисное помещение,Центр: Исторический,151-160,4,844,1097,1200,130000,169000,181560
аренда,Свободного назначения,Червишевский тракт мкр.,41-50,4,1017,1159,1400,43000,55000,65500
аренда,Торговое помещение,Плеханово,91-100,4,800,1016,1500,78400,95000,144810
аренда,Свободного назначения,Дом Обороны,491-500,4,120,1200,1200,60000,600000,600000
аренда,Торговое помещение,Дом Обороны,81-90,4,698,784,2100,60000,65000,178290
аренда,Свободного назначения,микрорайон Рощино,91-100,4,856,1200,1200,80000,116040,120960
аренда,Свободного назначения,ДОК,51-60,4,762,900,1083,40000,52740,65000
аренда,Торговое помещение,Дом Обороны,51-60,4,1000,1650,3300,58300,99825,195030
аренда,Торговое помещение,5-й Заречный мкр,91-100,4,758,1300,2195,72000,130390,200000
аренда,Свободного назначения,Центр: Дом печати,81-90,4,970,1205,1419,84778,106000,125000
аренда,Свободного назначения,Центр: Дом печати,71-80,4,1405,1800,2500,105400,131760,200000
аренда,Свободного назначения,5-й Заречный мкр,71-80,4,500,1400,1600,40300,105700,128000
аренда,Свободного назначения,Центр: Драмтеатр,191-200,4,1302,1929,2000,250000,380000,400000
