Тип объекта;Тип заявки;Район;Площадь;Цена
База/склад/производство;Сдать в аренду;Гилевская Роща;380.0;150000
Свободного назначения;Сдать в аренду;Суходольский мкр.;3600.0;3240000
База/склад/производство;Сдать в аренду;null;655.0;363525
Свободного назначения;Сдать в аренду;Гилевская Роща;650.0;250000
Свободного назначения;Сдать в аренду;Суходольский мкр.;127.0;127000
Свободного назначения;Сдать в аренду;Центр: Исторический;118.0;162600
Свободного назначения;Сдать в аренду;Горьковка с.;173.0;100000
База/склад/производство;Сдать в аренду;Винзили рп.;978.0;293400
База/склад/производство;Сдать в аренду;Перевалово с.;1727.0;1122000
База/склад/производство;Сдать в аренду;Перевалово с.;4000.0;4000000
Торговое помещение;Сдать в аренду;1 мкр;120.0;120000
Торговое помещение;Сдать в аренду;Дударева д.;120.0;100000
База/склад/производство;Сдать в аренду;Горьковское МО;700.0;245000
Свободного назначения;Сдать в аренду;4 мкр;179.3;65000
Свободного назначения;Сдать в аренду;Дом Обороны;320.0;180000
Свободного назначения;Сдать в аренду;Плеханово;87.0;120000
Свободного назначения;Сдать в аренду;Дом Обороны;3176.0;900000
Свободного назначения;Сдать в аренду;Плеханово;80.9;80900
Офисное помещение;Сдать в аренду;Гилевская Роща;13.6;8568
Офисное помещение;Сдать в аренду;Плеханово;104.4;104400
Офисное помещение;Сдать в аренду;Тарманы мкр.;46.0;20000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;6000.0;6000000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;2000.0;2000000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;1000.0;1000000
Торговое помещение;Сдать в аренду;Исетское;131.9;57000
База/склад/производство;Сдать в аренду;Гилевская Роща;1460.0;1149750
Свободного назначения;Сдать в аренду;Дударева д.;50.0;55000
Торговое помещение;Сдать в аренду;Центр: КПД;100.3;180000
Торговое помещение;Сдать в аренду;Центр: КПД;100.2;180000
Торговое помещение;Сдать в аренду;Исетское;478.3;264000
Свободного назначения;Сдать в аренду;Комарово Парк мкр.;151.0;220000
Торговое помещение;Сдать в аренду;Плеханово;81.9;130000
Торговое помещение;Сдать в аренду;Московский тракт мкр.;193.6;175000
Торговое помещение;Сдать в аренду;Московский тракт мкр.;83.0;83000
Торговое помещение;Сдать в аренду;Московский тракт мкр.;110.0;110000
Торговое помещение;Сдать в аренду;микрорайон Березняковский;431.0;237000
Офисное помещение;Сдать в аренду;Центр: Исторический;151.3;181560
Офисное помещение;Сдать в аренду;Центр: Исторический;212.0;220000
Торговое помещение;Сдать в аренду;Центр: Драмтеатр;44.5;90000
База/склад/производство;Сдать в аренду;Червишевский тракт мкр.;2000.0;1400000
Торговое помещение;Сдать в аренду;Плодовое с/о (Ирбитский тракт);330.0;280000
Торговое помещение;Сдать в аренду;5-й Заречный мкр;156.0;78000
Торговое помещение;Сдать в аренду;Центр: Студгородок;599.4;360000
Офисное помещение;Сдать в аренду;null;100.0;45000
Офисное помещение;Сдать в аренду;Дом Обороны;17.0;19000
Торговое помещение;Сдать в аренду;Тавда;56.0;25000
Свободного назначения;Сдать в аренду;Дом Обороны;73.0;55000
Свободного назначения;Сдать в аренду;Дом Обороны;145.8;80000
Свободного назначения;Сдать в аренду;6 мкр;68.9;80000
Офисное помещение;Сдать в аренду;Исетское;171.9;70000
Торговое помещение;Сдать в аренду;Суходольский мкр.;422.0;400900
Торговое помещение;Сдать в аренду;Суходольский мкр.;423.0;317000
Свободного назначения;Сдать в аренду;Центр: Дом печати;173.0;100000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;27.0;35000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;22.4;20000
Торговое помещение;Сдать в аренду;Лесобаза: Казачьи Луга мкр.;23.2;47000
Торговое помещение;Сдать в аренду;Онохино с.;142.8;55000
Свободного назначения;Сдать в аренду;Европейский мкр.;70.6;90000
Свободного назначения;Сдать в аренду;Центр: Исторический;104.0;104000
Офисное помещение;Сдать в аренду;Червишевский тракт мкр.;126.5;125000
Торговое помещение;Сдать в аренду;Дударева д.;96.9;96900
Свободного назначения;Сдать в аренду;Центр: Дом печати;119.7;140000
Свободного назначения;Сдать в аренду;Дударева д.;660.0;150000
Свободного назначения;Сдать в аренду;Червишевский тракт мкр.;45.3;52500
Торговое помещение;Сдать в аренду;микрорайон ДОК;70.5;75000
Свободного назначения;Сдать в аренду;5-й Заречный мкр;96.0;100000
Свободного назначения;Сдать в аренду;микрорайон ДОК;53.0;53000
Свободного назначения;Сдать в аренду;Исетское;220.0;75000
Торговое помещение;Сдать в аренду;Дом Обороны;300.0;225000
Свободного назначения;Сдать в аренду;Червишевский тракт мкр.;46.8;65500
Свободного назначения;Сдать в аренду;Дом Обороны;83.0;83000
Свободного назначения;Сдать в аренду;Перевалово с.;254.0;150000
Торговое помещение;Сдать в аренду;Тавда;100.0;70000
Свободного назначения;Сдать в аренду;Есенино КП;193.1;135000
Свободного назначения;Сдать в аренду;МЖК;104.0;114000
Свободного назначения;Сдать в аренду;null;380.0;190000
Свободного назначения;Сдать в аренду;Нижняя Тавда с.;61.1;33605
Свободного назначения;Сдать в аренду;Нижняя Тавда с.;50.0;30000
Свободного назначения;Сдать в аренду;Центр: Дом печати;200.2;70000
Свободного назначения;Сдать в аренду;Центр: Дом печати;116.2;40000
Свободного назначения;Сдать в аренду;Гилевская Роща;280.0;266000
Офисное помещение;Сдать в аренду;3 мкр;142.0;71000
Торговое помещение;Сдать в аренду;Субботина д.;800.0;1000000
Свободного назначения;Сдать в аренду;Зеленые Холмы КП;180.0;144000
Свободного назначения;Сдать в аренду;Южный;166.0;45000
Торговое помещение;Сдать в аренду;Комарово мкр.;180.0;161500
Свободного назначения;Сдать в аренду;Центр: Дом печати;139.0;152900
Торговое помещение;Сдать в аренду;Лесобаза: Тура мкр;147.0;200000
Торговое помещение;Сдать в аренду;Центр: Дом печати;135.0;200000
Торговое помещение;Сдать в аренду;Центр: Дом печати;67.0;100000
Свободного назначения;Сдать в аренду;Войновка мкр.;750.0;750000
Коммерческий участок;Сдать в аренду;Казарово мкр.;11592.0;570000
Свободного назначения;Сдать в аренду;null;19.0;13000
Офисное помещение;Сдать в аренду;Центр: Исторический;401.5;401500
Свободного назначения;Сдать в аренду;Центр: Дом печати;60.2;108000
База/склад/производство;Сдать в аренду;микрорайон Матмасы;590.0;300000
Офисное помещение;Сдать в аренду;Гилевская Роща;30.5;24400
Свободного назначения;Сдать в аренду;Дударева д.;44.7;67050
Свободного назначения;Сдать в аренду;Дударева д.;69.3;69300
Офисное помещение;Сдать в аренду;Центр: Исторический;256.3;230670
Офисное помещение;Сдать в аренду;null;1745.9;570000
Офисное помещение;Сдать в аренду;Маяк мкр.;84.5;100000
Свободного назначения;Сдать в аренду;ДОК;93.9;101000
Торговое помещение;Сдать в аренду;Сибиряк с/о;212.0;150000
База/склад/производство;Сдать в аренду;Центр: Драмтеатр;29.0;40000
Офисное помещение;Сдать в аренду;Электрон;15.7;16000
Свободного назначения;Сдать в аренду;5-й Заречный мкр;125.0;193170
Торговое помещение;Сдать в аренду;Европейский мкр.;1414.0;2150000
Свободного назначения;Сдать в аренду;Боровский рп.;120.0;100000
Свободного назначения;Сдать в аренду;микрорайон Войновка;128.9;100000
База/склад/производство;Сдать в аренду;2 мкр;40.0;35000
Торговое помещение;Сдать в аренду;Плеханово;97.0;92150
Свободного назначения;Сдать в аренду;Дударева д.;41.0;82000
Свободного назначения;Сдать в аренду;микрорайон ДОК;107.0;85600
Свободного назначения;Сдать в аренду;5-й Заречный мкр;128.7;154440
Свободного назначения;Сдать в аренду;Плеханово;52.5;78700
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;220.0;150000
