Тип объекта;Тип заявки;Площадь;Цена;Цена за кв.метр;Статус объекта;Район;Дата закрытия заявки
База/склад/производство;Продажа;4,26;400000;93896,71;Продан;5-й Заречный мкр;2025-10
База/склад/производство;Продажа;4,3;344000;80000;Продан;Тюменский 1-й мкр.;2025-11
База/склад/производство;Продажа;4,3;530000;123255,81;Продан;Рощино мкр.;2025-06
База/склад/производство;Продажа;4,3;535000;124418,6;Продан;Центр: КПД;2025-11
База/склад/производство;Продажа;4,5;500000;111111,11;Продан;5-й Заречный мкр;2025-10
База/склад/производство;Продажа;4,7;470000;100000;Продан;МЖК;2025-05
База/склад/производство;Продажа;4,8;350000;72916,66;Продан;Дом Обороны;2025-05
База/склад/производство;Продажа;4,8;390000;81250;Продан;Тюменская слобода мкр.;2025-08
База/склад/производство;Продажа;4,9;412000;84081,63;Продан;Тюменская слобода мкр.;2025-09
База/склад/производство;Продажа;4,9;500000;102040,81;Продан;Центр: КПД;2025-02
База/склад/производство;Продажа;5,1;360000;70588,24;Продан;Плеханово;2025-04
База/склад/производство;Продажа;5,2;450000;86538,46;Продан;Тюменская слобода мкр.;2025-11
База/склад/производство;Продажа;5,2;500000;96153,85;Продан;Плеханово;2025-06
База/склад/производство;Продажа;5,2;550000;105769,23;Продан;Европейский мкр.;2026-03
База/склад/производство;Продажа;5,4;370000;68518,52;Продан;Тюменская слобода мкр.;2025-03
База/склад/производство;Продажа;5,5;390000;70909,09;Продан;Тюменская слобода мкр.;2025-10
База/склад/производство;Продажа;5,6;284000;50714,29;Продан;Дом Обороны;2025-10
База/склад/производство;Продажа;6;700000;116666,67;Продан;Европейский мкр.;2025-07
База/склад/производство;Продажа;6,05;300000;49586,78;Продан;микрорайон Мелиораторов;2025-06
База/склад/производство;Продажа;6,1;500000;81967,21;Продан;Плеханово;2025-06
База/склад/производство;Продажа;7;600000;85714,29;Продан;5-й Заречный мкр;2025-09
База/склад/производство;Продажа;7,6;385000;50657,9;Продан;Матмасы мкр.;2025-08
База/склад/производство;Продажа;8;780000;97500;Продан;Центр: Дом печати;2025-01
База/склад/производство;Продажа;9,1;750000;82417,58;Продан;Ожогино;2025-11
База/склад/производство;Продажа;9,5;375000;39473,68;Продан;Дом Обороны;2026-01
База/склад/производство;Продажа;9,8;505000;51530,61;Продан;Студенческий городок СХИ;2025-09
База/склад/производство;Продажа;10,8;650000;60185,18;Продан;МЖК;2026-02
База/склад/производство;Продажа;59;950000;16101,69;Продан;район пос. Антипино;2025-09
База/склад/производство;Продажа;47490;600000;12,63;Продан;5-й Заречный мкр;2025-11
База/склад/производство;Сдать в аренду;3,3;6500;1969,7;Сдан с нами;Центр: Драмтеатр;2026-03
База/склад/производство;Сдать в аренду;3,7;6000;1621,62;Сдан с нами;Центр: Драмтеатр;2025-11
База/склад/производство;Сдать в аренду;23,3;18840;808,58;Сдан с нами;Центр: Исторический;2026-03
База/склад/производство;Сдать в аренду;50;20000;400;Сдан с нами;Бабарынка;2025-10
База/склад/производство;Сдать в аренду;140;112000;800;Сдан с нами;Дом Обороны;2026-02
База/склад/производство;Сдать в аренду;250;58000;232;Сдан с нами;Антипино мкр.;2026-01
База/склад/производство;Сдать в аренду;320;220000;687,5;Сдан с нами;микрорайон Парфёново;2025-10
База/склад/производство;Сдать в аренду;356,1;30000;84,25;Сдан с нами;Бабарынка;2025-12
База/склад/производство;Сдать в аренду;465;280000;602,15;Сдан с нами;Лесобаза мкр.;2025-11
База/склад/производство;Сдать в аренду;491;200000;407,33;Сдан с нами;Бабарынка;2026-04
База/склад/производство;Сдать в аренду;525,3;307440;585,27;Сдан с нами;микрорайон Матмасы;2026-04
База/склад/производство;Сдать в аренду;645;400000;620,16;Сдан с нами;Гилевская Роща;2026-03
База/склад/производство;Сдать в аренду;1009,3;200000;198,16;Сдан с нами;Бабарынка;2026-02
Коммерческий участок;Продажа;null;4800000;null;Продан;Центр: Исторический;2025-02
Коммерческий участок;Продажа;null;6500000;null;Продан;Южный;2025-08
Коммерческий участок;Продажа;null;8000000;null;Продан;район пос. Антипино;2026-03
Коммерческий участок;Продажа;null;15500000;null;Продан;Центр: Исторический;2025-08
Коммерческий участок;Продажа;null;16000000;null;Продан;микрорайон Антипино;2025-09
Коммерческий участок;Продажа;null;50000000;null;Продан;Центр: Исторический;2025-03
Коммерческий участок;Продажа;53,3;6000000;112570,36;Продан;СМП;2025-07
Коммерческий участок;Продажа;239;1500000;6276,15;Продан;Дом Обороны;2025-12
Коммерческий участок;Продажа;700;1500000;2142,86;Продан;Центр: Исторический;2025-12
Коммерческий участок;Продажа;1059;2500000;2360,72;Продан;микрорайон Антипино;2025-08
Коммерческий участок;Продажа;1751;5500000;3141,06;Продан;микрорайон Антипино;2026-04
Коммерческий участок;Продажа;1862;3200000;1718,58;Продан;микрорайон Антипино;2025-09
Коммерческий участок;Продажа;2028;8600000;4240,63;Продан;микрорайон Антипино;2025-07
Коммерческий участок;Продажа;2513;5000000;1989,65;Продан;Центр: Исторический;2025-09
Коммерческий участок;Продажа;2782;10000000;3594,54;Продан;Ленинский округ;2025-02
Коммерческий участок;Продажа;2850;7000000;2456,14;Продан;Ленинский округ;2025-09
Коммерческий участок;Продажа;3000;9000000;3000;Продан;Центр: Исторический;2025-10
Коммерческий участок;Продажа;5000;8500000;1700;Продан;Центр: Исторический;2026-02
Коммерческий участок;Продажа;5000;8500000;1700;Продан;Центр: Исторический;2026-02
Коммерческий участок;Продажа;5001;7500000;1499,7;Продан;Центр: Исторический;2025-09
Коммерческий участок;Продажа;8990;4000000;444,94;Продан;Центр: Исторический;2025-08
Коммерческий участок;Продажа;10160;26999000;2657,38;Продан;район пос. Антипино;2025-12
Коммерческий участок;Продажа;10540;26000000;2466,79;Продан;микрорайон Антипино;2025-09
Коммерческий участок;Продажа;11011;4400000;399,6;Продан;Центр: Исторический;2025-08
Коммерческий участок;Продажа;50000;8500000;170;Продан;null;2026-02
Офисное помещение;Продажа;10,3;1977600;192000;Продан;Центр: Исторический;2025-05
Офисное помещение;Продажа;11,7;2223936;190080;Продан;Центр: Исторический;2025-05
Офисное помещение;Продажа;12,4;2350000;189516,13;Продан;Центр: Исторический;2025-07
Офисное помещение;Продажа;12,7;2556000;201259,85;Продан;Дом Обороны;2025-09
Офисное помещение;Продажа;13,3;1900000;142857,14;Продан;Центр: Драмтеатр;2026-01
Офисное помещение;Продажа;13,4;2250000;167910,45;Продан;Центр: Драмтеатр;2026-04
Офисное помещение;Продажа;14,4;2300000;159722,23;Продан;Центр: Исторический;2025-04
Офисное помещение;Продажа;14,5;1890000;130344,83;Продан;Центр: Исторический;2026-01
