Тип объекта;Тип заявки;Площадь;Цена;Цена за кв.метр;Статус объекта;Район
База/склад/производство;Продажа;4,2;430000;102380,96;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,2;470000;111904,77;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,2;493000;117380,96;Активный;ДОК
База/склад/производство;Продажа;4,2;500000;119047,62;Активный;ЖК Добро
База/склад/производство;Продажа;4,2;535000;127380,96;Активный;микрорайон ДОК, жилой комплекс ДОК
База/склад/производство;Продажа;4,2;535000;127380,96;Активный;микрорайон ДОК, жилой комплекс ДОК
База/склад/производство;Продажа;4,2;880000;209523,82;Активный;Центр: Драмтеатр
База/склад/производство;Продажа;4,2;1000000;238095,25;Активный;Мыс мкр.
База/склад/производство;Продажа;4,25;350000;82352,94;Активный;Заречный мкр.
База/склад/производство;Продажа;4,27;800000;187353,63;Активный;жилой комплекс Машаров
База/склад/производство;Продажа;4,3;240000;55813,95;Активный;Центральный округ
База/склад/производство;Продажа;4,3;250000;58139,53;Активный;Плеханово
База/склад/производство;Продажа;4,3;331000;76976,74;Активный;Дом Обороны
База/склад/производство;Продажа;4,3;410000;95348,83;Активный;Зеленые Аллеи (Ирбитский тракт)
База/склад/производство;Продажа;4,32;350000;81018,52;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,32;380000;87962,96;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,32;380000;87962,96;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,32;390000;90277,77;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,4;300000;68181,82;Активный;Матмасы мкр.
База/склад/производство;Продажа;4,4;338000;76818,18;Активный;Дом Обороны
База/склад/производство;Продажа;4,4;338000;76818,18;Активный;Дом Обороны
База/склад/производство;Продажа;4,4;350000;79545,45;Активный;Дом Обороны
База/склад/производство;Продажа;4,4;350000;79545,45;Активный;Плеханово
База/склад/производство;Продажа;4,4;350000;79545,45;Активный;Центр: Исторический
База/склад/производство;Продажа;4,4;385000;87500;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4,4;550000;125000;Активный;Европейский мкр.
База/склад/производство;Продажа;4,4;590000;134090,91;Активный;Зеленые Аллеи (Ирбитский тракт)
База/склад/производство;Продажа;4,5;363000;80666,67;Активный;Заречный мкр.
База/склад/производство;Продажа;4,5;390000;86666,67;Активный;Тюменский 3-й мкр.
База/склад/производство;Продажа;4,5;400000;88888,89;Активный;5-й Заречный мкр
