Тип объекта;Тип заявки;Район;Площадь;Цена
Свободного назначения;Продажа;Центр: Дом печати;78.6;17220000
Свободного назначения;Продажа;Центр: Дом печати;35.8;7820000
Свободного назначения;Продажа;Центр: Дом печати;85.1;18200000
Свободного назначения;Продажа;Центр: Дом печати;36.6;8410000
Свободного назначения;Продажа;ДОК;62.2;11590000
Свободного назначения;Продажа;ДОК;63.3;11800000
Свободного назначения;Продажа;ДОК;128.0;23240000
Свободного назначения;Продажа;ДОК;78.2;14460000
Свободного назначения;Продажа;Центр: Дом печати;36.3;10160000
Свободного назначения;Продажа;Заречный мкр.;83.9;10010000
Свободного назначения;Продажа;Заречный мкр.;84.8;10010000
Свободного назначения;Продажа;Заречный мкр.;89.1;10560000
Свободного назначения;Продажа;Заречный мкр.;111.9;12210000
Свободного назначения;Продажа;Плеханово;72.1;10254000
Готовый бизнес;Продажа;5 мкр;170.1;65000000
Свободного назначения;Продажа;Центр: Драмтеатр;210.0;9500000
База/склад/производство;Продажа;Европейский мкр.;2.4;350000
Свободного назначения;Продажа;1 мкр;358.6;30000000
Коммерческий участок;Продажа;Шорохово с.;1000.0;15000000
Свободного назначения;Продажа;Плеханово;43.6;11012500
Свободного назначения;Продажа;Плеханово;45.7;11482000
Свободного назначения;Продажа;Плеханово;65.8;11134500
Свободного назначения;Продажа;Плеханово;70.1;11869500
Свободного назначения;Продажа;Плеханово;81.2;14089500
Свободного назначения;Продажа;Плеханово;84.6;16636000
Свободного назначения;Продажа;Плеханово;87.7;15687000
Свободного назначения;Продажа;Плеханово;90.2;15095000
Свободного назначения;Продажа;Плеханово;92.8;16789000
Свободного назначения;Продажа;Весна с/о;111.2;25000000
Свободного назначения;Продажа;Комарово Парк мкр.;63.6;13990000
Готовый бизнес;Продажа;Тюменский 1-й мкр.;100.0;3000000
Торговое помещение;Продажа;микрорайон Войновка;103.6;16500000
Коммерческий участок;Продажа;null;50000.0;11400000
Коммерческий участок;Продажа;null;56600.0;99929000
Коммерческий участок;Продажа;район пос. Антипино;450.0;49000000
Коммерческий участок;Продажа;null;24766.0;11600000
Офисное помещение;Продажа;6 мкр;134.5;16000000
Торговое помещение;Продажа;null;19.3;199000
Свободного назначения;Продажа;Центр: Драмтеатр;97.8;29000000
Свободного назначения;Продажа;2 мкр;82.1;7200000
База/склад/производство;Продажа;Лесобаза мкр.;2668.0;37000000
Свободного назначения;Продажа;микрорайон Тюменский-1;329.0;25000000
Торговое помещение;Продажа;Нижняя Тавда с.;150.0;4500000
Торговое помещение;Продажа;Воровского;119.4;16500000
Офисное помещение;Продажа;Центр: Исторический;64.3;6200000
Офисное помещение;Продажа;Центр: КПД;63.3;10000000
Готовый бизнес;Продажа;Московский тракт мкр.;323.2;1500000
Свободного назначения;Продажа;Центр: Исторический;20.6;3708000
Готовый бизнес;Продажа;Перевалово с.;344.5;60000000
Готовый бизнес;Продажа;Центр: Исторический;15.0;1090000
Готовый бизнес;Продажа;Мыс мкр.;87.0;3200000
Готовый бизнес;Продажа;6 мкр;880.0;30000000
Готовый бизнес;Продажа;Центр: Драмтеатр;880.0;30000000
Свободного назначения;Продажа;Комарово Парк мкр.;208.7;37600000
Торговое помещение;Продажа;Дом Обороны;86.0;11000000
База/склад/производство;Продажа;Европейский мкр.;5.0;1850000
Торговое помещение;Продажа;Восточный 2 мкр.;102.5;18950000
Свободного назначения;Продажа;Маяк мкр.;55.7;7900000
Торговое помещение;Продажа;Ново-Комарово;102.7;15000000
Торговое помещение;Продажа;Центр: Драмтеатр;142.0;13000000
Свободного назначения;Продажа;Тюменский 1-й мкр.;554.6;55000000
Свободного назначения;Продажа;Червишевский тракт мкр.;216.0;15500000
База/склад/производство;Продажа;Воровского;252.6;6300000
База/склад/производство;Продажа;Тарманы мкр.;3.5;260000
Свободного назначения;Продажа;5-й Заречный мкр;228.3;30820500
Свободного назначения;Продажа;5-й Заречный мкр;87.6;9669000
Свободного назначения;Продажа;Комарово Парк мкр.;101.4;16300000
Свободного назначения;Продажа;Плеханово;116.0;22500000
Свободного назначения;Продажа;Плеханово;65.2;12330000
Свободного назначения;Продажа;Плеханово;76.7;14390000
Свободного назначения;Продажа;Плеханово;63.3;11960000
Свободного назначения;Продажа;5-й Заречный мкр;87.6;9634900
Свободного назначения;Продажа;Мыс мкр.;220.0;18600000
Свободного назначения;Продажа;Плеханово;84.6;15960000
Свободного назначения;Продажа;Плеханово;87.1;16340000
Свободного назначения;Продажа;Плеханово;134.1;24320000
Свободного назначения;Продажа;Плеханово;91.0;16880000
Свободного назначения;Продажа;Плеханово;66.7;12500000
Свободного назначения;Продажа;Плеханово;56.2;10670000
Свободного назначения;Продажа;Плеханово;77.8;14610000
Свободного назначения;Продажа;Плеханово;75.5;14180000
Свободного назначения;Продажа;5-й Заречный мкр;380.3;52000000
Свободного назначения;Продажа;Плеханово;58.7;11130000
Свободного назначения;Продажа;Плеханово;211.4;35540000
Свободного назначения;Продажа;Плеханово;175.0;30180000
